Date,Goods,Services,Total_Spending, Goods_Change_yoy,Services_Change_yoy,Spending_Change_yoy,Personal_Income,Unemployment ,Cumulative Cases,Cumulative Deaths,New_Cases,New_Deaths
1/1/01,2498.5,4488.9,6987.4,,,,8975.6,0.042,0,0,0,0
2/1/01,2513.8,4488,7001.8,,,,9010.9,0.042,0,0,0,0
3/1/01,2485.4,4511.3,6996.7,,,,9041.2,0.043,0,0,0,0
4/1/01,2490.4,4513.8,7004.2,,,,9033.8,0.044,0,0,0,0
5/1/01,2519,4533.8,7052.8,,,,9030.6,0.043,0,0,0,0
6/1/01,2520.9,4548.8,7069.7,,,,9032.9,0.045,0,0,0,0
7/1/01,2517,4565.3,7082.3,,,,9028.1,0.046,0,0,0,0
8/1/01,2532.7,4589,7121.7,,,,9013.6,0.049,0,0,0,0
9/1/01,2496,4511,7007,,,,8987.3,0.05,0,0,0,0
10/1/01,2627.1,4585.8,7212.9,,,,9000,0.053,0,0,0,0
11/1/01,2577.6,4604.8,7182.4,,,,8997.6,0.055,0,0,0,0
12/1/01,2528.7,4638.1,7166.8,,,,9002.1,0.057,0,0,0,0
1/1/02,2549.3,4635.3,7184.6,0.020332199,0.032613781,0.028222229,9025.1,0.057,0,0,0,0
2/1/02,2567.6,4657.5,7225.1,0.021401862,0.03776738,0.031891799,9040.4,0.057,0,0,0,0
3/1/02,2568.7,4674.7,7243.4,0.033515732,0.036220158,0.035259479,9059,0.057,0,0,0,0
4/1/02,2608.8,4703.6,7312.4,0.047542563,0.042048828,0.04400217,9108.7,0.059,0,0,0,0
5/1/02,2565.2,4723.7,7288.9,0.018340611,0.041885394,0.033476066,9140.4,0.058,0,0,0,0
6/1/02,2586.7,4735.8,7322.5,0.026101789,0.041109743,0.035758236,9174.8,0.058,0,0,0,0
7/1/02,2619.1,4768.2,7387.3,0.040564164,0.044443958,0.043065106,9168.1,0.058,0,0,0,0
8/1/02,2635.9,4776.6,7412.5,0.040747029,0.040880366,0.040832947,9186.9,0.057,0,0,0,0
9/1/02,2600.2,4791.3,7391.5,0.041746795,0.062136998,0.054873698,9210.1,0.057,0,0,0,0
10/1/02,2604.8,4830.4,7435.2,-0.008488447,0.053338567,0.030819781,9244.4,0.057,0,0,0,0
11/1/02,2623.5,4840.3,7463.8,0.017807263,0.051142286,0.039179104,9273.3,0.059,0,0,0,0
12/1/02,2655.6,4864.3,7519.9,0.050183889,0.04876997,0.049268851,9300.2,0.06,0,0,0,0
1/1/03,2649.7,4891.6,7541.3,0.03938336,0.055293077,0.049647858,9297.2,0.058,0,0,0,0
2/1/03,2643.4,4905.3,7548.7,0.029521732,0.053204509,0.044788307,9302,0.059,0,0,0,0
3/1/03,2679,4932.6,7611.6,0.042940009,0.055169316,0.050832482,9341.7,0.059,0,0,0,0
4/1/03,2680.1,4954.4,7634.5,0.027330573,0.053320861,0.044048466,9369.8,0.06,0,0,0,0
5/1/03,2658.7,4991.7,7650.4,0.0364494,0.056735186,0.049595961,9431.9,0.061,0,0,0,0
6/1/03,2694.9,5004.6,7699.5,0.041829358,0.056759154,0.051485149,9475.2,0.063,0,0,0,0
7/1/03,2721.7,5035.3,7757,0.039173762,0.056016946,0.050045348,9512.4,0.062,0,0,0,0
8/1/03,2792.4,5059.7,7852.1,0.05937251,0.059268099,0.059305228,9560.2,0.061,0,0,0,0
9/1/03,2784.7,5069,7853.7,0.07095608,0.057959218,0.062531286,9604.3,0.061,0,0,0,0
10/1/03,2766.2,5101.2,7867.4,0.061962531,0.05606161,0.0581289,9642.4,0.06,0,0,0,0
11/1/03,2799.6,5123,7922.6,0.067124071,0.058405471,0.061470029,9710.1,0.058,0,0,0,0
12/1/03,2801,5149.4,7950.4,0.054752222,0.058610694,0.057248102,9734.9,0.057,0,0,0,0
1/1/04,2823.4,5183.7,8007.1,0.065554591,0.059714613,0.061766539,9753.2,0.057,0,0,0,0
2/1/04,2830,5210.4,8040.4,0.070590906,0.062198031,0.065137043,9786.7,0.056,0,0,0,0
3/1/04,2876.3,5222.5,8098.8,0.073646883,0.05877225,0.064007567,9837.2,0.058,0,0,0,0
4/1/04,2850.9,5256.3,8107.2,0.063728965,0.060935734,0.061916301,9887.5,0.056,0,0,0,0
5/1/04,2901.5,5274.9,8176.4,0.091322827,0.056734179,0.068754575,9972.9,0.056,0,0,0,0
6/1/04,2854.5,5303.1,8157.6,0.059222977,0.059645126,0.05949737,10013,0.056,0,0,0,0
7/1/04,2892,5345,8237,0.062571187,0.061505769,0.061879593,10060,0.055,0,0,0,0
8/1/04,2904.1,5367.5,8271.6,0.040001432,0.060833646,0.053425198,10107.8,0.054,0,0,0,0
9/1/04,2937.9,5403.5,8341.4,0.055014903,0.065989347,0.062098119,10142.9,0.054,0,0,0,0
10/1/04,2966.6,5430.4,8397,0.072445955,0.064533835,0.067315759,10194.7,0.055,0,0,0,0
11/1/04,2980.6,5463.9,8444.5,0.064652093,0.066543041,0.065874839,10210.6,0.054,0,0,0,0
12/1/04,3006.4,5498,8504.4,0.073330953,0.067697207,0.069682029,10564.5,0.054,0,0,0,0
1/1/05,2982.5,5515.2,8497.7,0.056350499,0.06395046,0.061270622,10296.1,0.053,0,0,0,0
2/1/05,3010.4,5548.7,8559.1,0.063745583,0.064927837,0.064511716,10335.8,0.054,0,0,0,0
3/1/05,3012.9,5585.5,8598.4,0.047491569,0.069506941,0.061688151,10403.5,0.052,0,0,0,0
4/1/05,3065.2,5613.2,8678.4,0.075169245,0.067899473,0.070455891,10468.7,0.052,0,0,0,0
5/1/05,3029.7,5641.9,8671.6,0.044184043,0.069574779,0.060564552,10522.6,0.051,0,0,0,0
6/1/05,3077.3,5676.1,8753.4,0.078052198,0.070336218,0.073036187,10559.1,0.05,0,0,0,0
7/1/05,3149.5,5704.3,8853.8,0.089038728,0.067221703,0.074881632,10622.7,0.05,0,0,0,0
